"","GEOID","NAME","not_in_labor_force","over45","over100k","highschool_only","black","hispanic","totalVAPcitizens","STATE"
"1",1,"Alabama",0.424479008832033,0.560627146700888,0.342239677543707,0.434595213046867,0.262673690680959,0.0207078114300196,3709180,1
"2",2,"Alaska",0.324606589323257,0.490015078311454,0.519145834394705,0.353018807039608,0.0327235035761699,0.0587415712614519,532553,2
"3",4,"Arizona",0.399316827467297,0.548373184082301,0.407682064590324,0.35903567767273,0.044756101376535,0.236875550255588,5049926,3
"4",5,"Arkansas",0.419321664421571,0.555017641527584,0.31197716617231,0.467341845600926,0.150009529263399,0.03759981509174,2219479,4
"5",6,"California",0.362597823637806,0.519997450233679,0.520338218838667,0.364442935858248,0.0665050599010798,0.304992672913594,25774911,5
"6",8,"Colorado",0.31792128198892,0.512923762679418,0.501548609012249,0.2911913953046,0.0390832782856714,0.159935685714121,4153976,6
"7",9,"Connecticut",0.339736577045391,0.58738098833442,0.525553309172485,0.353900542542699,0.100692518392929,0.122431058771358,2615815,7
"8",10,"Delaware",0.378320725903377,0.592067581264978,0.461279461279461,0.404255225263653,0.21393358860223,0.0556461303807323,723159,8
"9",12,"Florida",0.410515593583949,0.597430340358929,0.382378554471372,0.397260602624946,0.149239112087587,0.204105922218429,15296734,9
"10",13,"Georgia",0.366626623197788,0.530423481779537,0.409203125424253,0.396492065590641,0.3224773997508,0.050472119042079,7482329,10
"11",15,"Hawaii",0.346860648517282,0.553684064057728,0.548983613003599,0.348151337333642,0.0209237082772751,0.0874390137547929,1020517,11
"12",16,"Idaho",0.368712602807813,0.536542216055141,0.372597216382591,0.354396583035315,0.00558542182599961,0.082551451277709,1255411,12
"13",17,"Illinois",0.347626904086131,0.548657185762846,0.460729913078481,0.359025521774667,0.146446713051813,0.116772590253118,9064396,13
"14",18,"Indiana",0.362395213146773,0.549565876592808,0.378614706639465,0.438589801575396,0.0891297363639035,0.0417889512628446,4933505,14
"15",19,"Iowa",0.329441733811399,0.559090911040365,0.407333620630783,0.382814281587789,0.0284094588688797,0.0356721175921117,2331653,15
"16",20,"Kansas",0.333595080494908,0.542672761571959,0.401731196119038,0.344980360775945,0.0565608292021371,0.0717440483116299,2097052,16
"17",21,"Kentucky",0.40536822300808,0.55750970897175,0.341095493100038,0.454718105936053,0.0765984188458443,0.0184513587801879,3362354,17
"18",22,"Louisiana",0.407508784316724,0.53547005379961,0.344755233578926,0.474127255121802,0.315170498078215,0.0314175650810339,3467869,18
"19",23,"Maine",0.369884134056878,0.615887922048324,0.39274972741686,0.380687815876668,0.00791136284667088,0.013353110183708,1070612,19
"20",24,"Maryland",0.3239986331209,0.561459233676963,0.566123611146603,0.335927358958561,0.303313017253212,0.0559393930401042,4313168,20
"21",25,"Massachusetts",0.328096829443336,0.56212937185673,0.54790478205351,0.32461984440945,0.064542218960657,0.0880942622380583,5030986,21
"22",26,"Michigan",0.385294486085888,0.571556097460551,0.39231807392609,0.372350216832607,0.133143533765131,0.0351793300433856,7528995,22
"23",27,"Minnesota",0.307391109483152,0.554351673484947,0.490061087288518,0.308625413484717,0.0476225321214396,0.0306081121160524,4113452,23
"24",28,"Mississippi",0.426525205916269,0.542747906402345,0.300949537410592,0.44775534614283,0.367553224048794,0.0186173029038042,2238133,24
"25",29,"Missouri",0.369796299763153,0.556771916032323,0.376763576279438,0.399596628225681,0.109559697761287,0.0275489917637035,4630115,25
